capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds
2026-08-16T13:30:49.993Z,3,connecting,0,6700,5500,6679.724,6743.774,0,4,2,-0.268,-1.707,8.008,normal,increase,31,118,0,0.218527,0,4317,0,0,0,1438,0,10019.586,10019.586,21,0,19.498594,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,11687,0,0,0,0,0,0,0,0,2779,1388,0,,1,0,1,0,0,1,0,0,63,0,0,0,2766,1,0,0.016,23.209986999999998,118,22.198,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:50.997Z,1008,connecting,7700.497512437811,7200,5500,7211.318,7259.554,0,4,2,0.793,-0.875,7.248,normal,increase,30,148,0,0.276553,0,5456,0,0,0,1818,0,10816.977,10816.977,16,0,12.785077,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,13925,0,0,0,0,0,0,0,0,3508,1752,0,,1,0,1,0,0,1,0,0,79,0,0,0,3492,1,0,0.014,29.07913,148,27.837999999999997,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:52.005Z,2016,warmup,7612.785714285715,7800,5500,7761.065,7835.483,0,4,2,0.026,-3.483,7.739,normal,increase,30,178,0,0.33108699999999996,0,6560,0,0,0,2186,0,11641.598,11641.598,0,0,0,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,13925,0,0,0,0,0,0,0,0,4217,2108,0,,1,0,1,0,0,1,0,0,95,0,0,0,4217,1,0,0.014,35.116304,179,33.666,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:53.011Z,3022,warmup,8016.397614314115,8000,6000,8000,8000,0,4,2,1.468,-1.027,7.178,normal,increase,30,209,0,0.392352,0,7740,0,0,0,2580,0,12000,12000,16,0,11.645992,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,33273,0,0,0,0,0,0,0,0,5018,2508,0,,2,0,1,0,0,1,0,0,111,0,0,0,5001,1,0,0.013,40.918681,209,39.306,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:54.017Z,4027,warmup,8550.264676616915,8000,6500,8000,8000,0,4,2,-0.383,-1.32,6.428,normal,increase,30,239,0,0.448447,0,8969,0,0,0,2989,0,12000,12000,0,0,0,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,33273,0,0,0,0,0,0,0,0,5788,2894,0,,3,0,1,0,0,1,0,0,127,0,0,0,5763,1,0,0.015,46.716456,239,44.946,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:55.021Z,5032,warmup,8740.903482587064,8000,6500,8000,8000,0,4,2,0.748,1.768,6,normal,increase,30,269,0,0.508101,0,10224,0,0,0,3408,0,12000,12000,0,0,0,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,44859,0,0,0,0,0,0,0,0,6630,3314,0,,3,0,1,0,0,1,0,0,144,0,0,0,6630,1,0,0.015,52.52559,269,50.586,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:56.027Z,6037,warmup,9105.830845771145,8000,6500,8000,8000,0,4,2,-0.959,-2.37,6,normal,increase,30,299,0,0.565905,0,11523,0,0,0,3840,0,12000,12000,17,0,12.689325,44.007208,44.007208,43.987584,0,43.987584,49.336516,34.327466,44859,0,0,0,0,0,0,0,0,7489,3744,0,,3,0,1,0,0,1,0,0,160,0,0,0,7472,1,0,0.018,58.340886,299,56.226,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:57.032Z,7042,warmup,8760.509452736318,8000,6500,8000,8000,0,4,2,0.342,-1.839,8.246,normal,increase,30,329,0,0.625046,0,12779,0,0,0,4259,0,12000,12000,0,0,0,48.240417,46.708916,48.240417,0,48.240417,56.895969,35.347333,53021,0,0,0,0,0,0,0,0,8325,4162,0,,3,0,1,0,0,1,0,0,176,0,0,0,8325,1,0,0.015,64.170543,329,61.866,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:58.036Z,8047,warmup,9285.603980099502,8000,7000,8000,8000,0,4,2,-2.468,-3.528,7.193,normal,increase,30,359,0,0.682064,0,14078,0,0,0,4692,0,12000,12000,20,0,15.534658,48.240417,46.708916,48.240417,0,48.240417,56.895969,35.347333,53021,0,0,0,0,0,0,0,0,9184,4590,0,,4,0,1,0,0,1,0,0,192,0,0,0,9168,1,0,0.019,70.02192099999999,359,67.506,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
2026-08-16T13:30:59.041Z,9051,warmup,9434.063745019921,8000,7000,8000,8000,0,4,2,4.114,1.693,10.468,normal,increase,30,389,0,0.741459,0,15402,0,0,0,5134,0,12000,12000,21,0,15.799325,55.134959,55.134959,53.862541,0,53.862541,58.4533,45.594651,60659,0,0,0,0,0,0,0,0,10076,5038,0,,4,0,1,0,0,1,0,0,208,0,0,0,10033,1,0,0.017,75.85069399999999,389,73.146,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,54969,udp,host,172.27.0.2,52478,udp,0.2
