capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds
2026-08-16T13:34:12.292Z,4,connecting,0,2400,2200,2379.299,2390.679,0,4,2,-1.639,-10.455,32.3,normal,increase,31,105,0,0.161602,0,2874,1,1,272,935,0,3568.949,3568.949,9,0,21.877584,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,25073,0,0,0,33,0,0,0,33,2148,1041,1,,3,0,1,2,0,3,0,1,53,0,0,0,1684,3,0.103,0.031,21.824021,105,19.752,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:13.297Z,1009,connecting,2813.381094527363,2100,2000,2054.201,2063.423,0,4,2,9.84,-0.425,29.206,normal,increase,30,135,0,0.20546599999999998,0,3495,1,1,272,1141,0,3081.302,3081.302,13,0,27.435149,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,10527,0,0,0,33,0,0,0,33,2564,1249,1,,4,0,1,2,0,3,0,1,69,0,0,0,2102,3,0.086,0.031,27.493534,135,25.392,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:14.304Z,2016,warmup,2965.545183714002,2000,2000,2000,2004,0,4,2,9.57,-6.465,36.683,normal,increase,30,165,0,0.24668299999999999,0,4150,1,1,272,1357,0,3000,3000,13,0,34.970661,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,10527,0,0,0,37,0,0,0,37,2994,1460,1,,4,0,1,2,0,3,0,1,85,0,0,0,2537,3,0.086,0.03,33.248926,165,31.032,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:15.310Z,3022,warmup,2972.079522862823,2000,2000,2042.433,2062.176,0,4,2,-2.925,-15.515,35.822,normal,increase,30,195,0,0.292055,0,4789,1,1,272,1558,0,3063.65,3063.65,23,0,38.053943,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11419,0,0,0,53,0,0,0,53,3417,1657,1,,4,0,1,2,0,3,0,1,101,0,0,0,2959,3,0.086,0.032,38.638656999999995,195,36.672,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:16.315Z,4027,warmup,2931.18407960199,2000,2000,2041.048,2062.906,0,4,2,3.42,-7.432,39.021,normal,increase,30,225,0,0.33466999999999997,0,5426,1,1,272,1770,0,3061.572,3061.572,28,0,49.292316,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11419,0,0,0,56,0,0,0,56,3856,1871,1,,4,0,1,2,0,3,0,1,117,0,0,0,3385,3,0.101,0.031,44.368553999999996,225,42.312,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:17.320Z,5032,warmup,3099.096517412935,2200,2000,2222.036,2222.036,0,4,2,5.875,-0.317,35.046,normal,increase,30,255,0,0.37929999999999997,0,6102,1,1,272,1996,0,3333.054,3333.054,0,0,0,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11635,0,0,0,56,0,0,0,56,4283,2085,1,,4,0,1,2,0,3,0,1,133,0,0,0,3833,3,0.101,0.029,50.700579999999995,256,48.14,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:18.327Z,6038,warmup,2912.652087475149,2000,2000,2033.943,2050.627,0,4,2,-24.123,-28.316,33.891,normal,increase,30,286,0,0.424545,0,6743,1,1,272,2203,0,3050.915,3050.915,27,0,45.845904,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11635,0,0,0,56,0,0,0,56,4715,2301,1,,4,0,1,2,0,3,0,1,149,0,0,0,4261,3,0.101,0.031,56.764615,286,53.779999999999994,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:19.332Z,7043,warmup,2950.503482587065,2100,2000,2052.351,2070.888,0,4,2,-2.205,5.425,30.189,normal,increase,30,316,0,0.46942799999999996,0,7388,1,1,272,2418,0,3078.527,3078.527,21,0,34.642532,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11793,0,0,0,66,0,0,0,66,5148,2507,1,,4,0,1,2,0,3,0,1,165,0,0,0,4677,3,0.101,0.031,62.920628,316,59.419999999999995,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:20.338Z,8050,warmup,2908.011916583913,2200,2000,2198.697,2213.691,0,4,2,1.115,1.414,27.55,normal,increase,30,346,0,0.5130629999999999,0,8044,1,1,272,2636,0,3298.046,3298.046,7,0,16.269023,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11793,0,0,0,66,0,0,0,66,5594,2731,1,,4,0,1,2,0,3,0,1,181,0,0,0,5128,3,0.101,0.03,69.20200799999999,346,65.06,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
2026-08-16T13:34:21.343Z,9055,warmup,2993.61592039801,2000,2000,2000,2018.476,0,4,2,-17.205,-17.827,29.116,normal,increase,30,376,0,0.556711,0,8697,1,1,272,2852,0,3000,3000,10,0,28.869329,112.804125,112.804125,101.295958,46.60125,101.295958,107.705246,93.021528,11898,0,0,0,68,0,0,0,68,6022,2943,1,,4,0,1,2,0,3,0,2,197,0,0,0,5564,3,0.124,0.03,75.260881,376,70.7,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56766,udp,relay,13.39.92.37,56451,udp,0.2
