capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds
2026-08-16T13:37:33.976Z,3,connecting,0,2300,2100,2273.65,2291.215,1.8627345819528232e-8,4,2,6.939,34.365,41.215,normal,increase,30,103,0,0.165123,0,2985,1,2,23,989,0,3410.475,3410.475,11,0,25.382968,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,25092,0,0,0,8,0,0,0,8,2189,1088,2,,5,0,1,1,0,2,0,0,55,0,5,2,1800,2,0.096,0.03,21.236828,103,19.375999999999998,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:34.982Z,1008,connecting,3109.771144278607,2500,2100,2477.363,2477.363,1.1702481254627167e-10,4,2,1.457,-7.48,38.93,normal,increase,30,134,0,0.21267799999999998,0,3636,1,2,23,1206,0,3716.045,3716.045,11,0,23.54761,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,10606,0,0,0,8,0,0,0,8,2620,1302,2,,5,0,1,1,0,2,0,0,71,0,5,2,2238,2,0.106,0.029,27.756161,134,25.204,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:35.987Z,2014,warmup,3216.6361829025846,2700,2100,2666.706,2674.516,8.084681338620338e-13,4,2,1.21,-25.867,39.955,normal,increase,30,164,0,0.257249,0,4323,1,2,23,1435,0,4000.059,4000.059,9,0,17.431738,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,10606,0,0,0,8,0,0,0,8,3068,1527,2,,5,0,1,1,0,2,0,0,87,0,5,2,2668,2,0.106,0.028,33.904809,164,30.843999999999998,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:36.991Z,3018,warmup,3089.9043824701193,2900,2100,2869.193,2882.028,6.297427800181023e-15,4,2,1.322,-34.17,38.539,normal,increase,30,194,0,0.302375,0,4974,1,2,23,1652,0,4303.79,4303.79,7,0,13.961645,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11577,0,0,0,8,0,0,0,8,3508,1748,2,,5,0,1,1,0,2,0,0,103,0,5,2,3123,2,0.106,0.027,40.045184,194,36.484,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:37.997Z,4023,warmup,3275.486567164179,3100,2100,3096.097,3114.259,4.0972312894053864e-17,4,2,-7.42,-9.109,36.103,normal,increase,31,225,0,0.350035,0,5654,1,2,23,1878,0,4644.146,4644.146,9,0,16.790167,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11577,0,0,0,8,0,0,0,8,3952,1968,2,,5,0,1,1,0,2,0,0,119,0,5,2,3565,2,0.089,0.025,46.476819,225,42.312,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:39.002Z,5029,warmup,3566.9184890656065,3300,2400,3323.765,3357.96,3.0663307039226977e-19,4,2,15.022,28.835,42.242,normal,increase,30,255,0,0.39497699999999997,0,6367,1,2,23,2116,0,4985.648,4985.648,7,0,12.63787,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11719,0,0,0,8,0,0,0,8,4408,2198,2,,6,0,2,1,0,2,0,0,135,0,5,2,4010,2,0.089,0.027,52.580622,255,47.952,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:40.007Z,6033,warmup,3456.988047808765,3600,2800,3606.826,3624.077,2.1720074287592704e-21,4,2,7.639,30.719,42.874,normal,increase,30,285,0,0.441548,0,7031,1,2,23,2337,0,5410.239,5410.239,0,0,0,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11719,0,0,0,8,0,0,0,8,4873,2430,2,,7,0,2,1,0,2,0,0,151,0,5,2,4491,2,0.089,0.027,58.549969999999995,285,53.592,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:41.013Z,7039,warmup,3055.395626242545,2100,2000,2050.469,2076.991,1.2722945572731727e-23,4,2,6.618,-9.217,38.621,normal,increase,30,315,0,0.484386,0,7706,1,2,23,2562,0,3075.704,3075.704,27,0,45.278721,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11771,0,0,0,8,0,0,0,8,5316,2649,2,,8,0,2,1,0,2,0,0,167,0,5,2,4937,2,0.106,0.03,64.262536,315,59.232,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:42.019Z,8045,warmup,3018.9184890656065,2200,2000,2237.105,2237.105,1.0212140802963678e-25,4,2,3.935,-17.405,36.756,normal,increase,30,345,0,0.528959,0,8357,1,2,23,2780,0,3355.658,3355.658,12,0,26.567661,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,11771,0,0,0,8,0,0,0,8,5757,2872,2,,8,0,2,1,0,2,0,0,183,0,5,2,5369,2,0.106,0.03,70.35810699999999,345,64.872,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
2026-08-16T13:37:43.025Z,9051,warmup,2915.037773359841,2400,2000,2403.826,2415.509,6.984877627743802e-28,4,2,-6.327,5.461,41.714,normal,increase,30,375,0,0.572284,0,8996,1,2,23,2992,0,3605.739,3605.739,14,0,27.582687,99.859083,99.859083,87.806,14.346958,87.806,97.905912,86.303479,13943,0,0,0,8,0,0,0,8,6188,3087,2,,8,0,2,1,0,2,0,0,199,0,5,2,5797,2,0.121,0.03,76.66158399999999,375,70.512,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,13.39.92.37,56900,udp,relay,13.39.92.37,56542,udp,0.2
