capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,lossGuardTargetKbps,lossGuardLastObservedLoss,lossGuardReductions,lossGuardRecoveries,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,freezeCount,totalFreezesDurationSeconds,frameWidth,frameHeight,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerRTXPacketsCoalesced,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds,playback,videoCurrentTimeSeconds,videoReadyState
2026-08-17T01:18:33.184Z,3,connecting,0,7000,6000,7029.137,7097.084,0,0,0,0,0,5,1,-0.449,-0.393,7.436,normal,increase,30,118,0,0,0,1920,1080,0.304359,0,2732,0,0,0,453,0,8434.965,12652.448,13,0,9.805524,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,10680,0,0,0,2,0,0,0,0,2,2181,434,0,434,1,0,1,0,0,1,0,0,63,0,0,0,2172,1,0,0.007,21.905735999999997,118,22.038,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,3.877,4
2026-08-17T01:18:34.188Z,1007,connecting,6324.916334661355,7600,6000,7586.789,7659.537,0,0,0,0,0,5,1,-0.774,-1.705,6.599,normal,increase,29,148,0,0,0,1920,1080,0.37992499999999996,0,3478,0,0,0,578,0,9104.147,13656.221,6,0,4.256518,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,10813,0,0,0,2,0,0,0,0,2,2792,556,0,556,1,0,1,0,0,1,0,0,79,0,0,0,2777,1,0,0.006,27.650274,149,27.804,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,4.876,4
2026-08-17T01:18:35.193Z,2012,warmup,6416.405970149253,8000,6000,8000,8000,0,0,0,0,0,5,1,-0.204,-2.34,6.016,normal,increase,30,179,0,0,0,1920,1080,0.46065,0,4237,0,0,0,704,0,9600,14400,7,0,3.525554,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,10813,0,0,0,2,0,0,0,0,2,3404,678,0,678,1,0,1,0,0,1,0,0,95,0,0,0,3389,1,0,0.006,33.186879,179,33.384,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,5.876,4
2026-08-17T01:18:36.199Z,3018,warmup,8245.057654075546,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.616,1.259,6.411,normal,increase,30,209,0,0,0,1920,1080,0.5446179999999999,0,5206,0,0,0,866,0,9600,14400,16,0,10.312775,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,31983,0,0,0,2,0,0,0,0,2,4192,836,0,836,2,0,1,0,0,1,0,0,111,0,0,0,4177,1,0,0.009,38.75766,209,38.964,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,6.877,4
2026-08-17T01:18:37.205Z,4023,warmup,8551.108457711443,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.796,1.155,6,normal,increase,30,239,0,0,0,1920,1080,0.625327,0,6205,0,0,0,1032,0,9600,14400,29,0,18.713884,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,31983,0,0,0,2,0,0,0,0,2,4982,994,0,994,2,0,1,0,0,1,0,0,127,0,0,0,4979,1,0.001,0.01,44.353125999999996,239,44.544,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,7.878,4
2026-08-17T01:18:38.209Z,5028,warmup,9262.328358208955,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.626,-0.141,7.308,normal,increase,30,269,0,0,0,1920,1080,0.71824,0,7260,0,0,0,1208,0,9600,14400,32,0,21.093329,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,47880,0,0,0,2,0,0,0,0,2,5870,1171,0,1171,2,0,1,0,0,1,0,0,143,0,0,0,5868,1,0.001,0.011,49.980453,269,50.123999999999995,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,8.913,4
2026-08-17T01:18:39.213Z,6032,warmup,8635.227091633466,8000,8000,8000,8000,0,0,0,0,0,5,1,0.782,-0.447,6.592,normal,increase,30,299,0,0,0,1920,1080,0.799064,0,8265,0,0,0,1375,0,9600,14400,12,0,7.834443,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.669333,47880,0,0,0,2,0,0,0,0,2,6684,1334,0,1334,2,0,1,0,0,1,0,0,159,0,0,0,6668,1,0.001,0.011,55.625040999999996,299,55.704,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,9.913,4
2026-08-17T01:18:40.217Z,7036,warmup,8237.760956175298,8000,8000,8000,8000,0,0,0,0,0,5,1,0.667,0.904,6,normal,increase,30,329,0,0,0,1920,1080,0.885276,0,9234,0,0,0,1537,0,9600,14400,0,0,0,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.838888,57310,0,0,0,2,0,0,0,0,2,7508,1499,0,1499,2,0,1,0,0,1,0,0,175,0,0,0,7508,1,0.001,0.009,61.300110999999994,329,61.284,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,10.913,4
2026-08-17T01:18:41.221Z,8040,warmup,8839.370517928286,8000,8000,8000,8000,0,0,0,0,0,5,1,1.199,1.05,6,normal,increase,30,359,0,0,0,1920,1080,0.974449,0,10262,0,0,0,1708,0,9600,14400,0,0,0,30.715053,29.589793,30.715053,0,30.715053,39.947527,31.838888,57310,0,0,0,2,0,0,0,0,2,8313,1660,0,1660,2,0,1,0,0,1,0,0,191,0,0,0,8313,1,0.001,0.012,66.97274,359,66.86399999999999,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,11.914,4
2026-08-17T01:18:42.225Z,9044,warmup,9026.725099601594,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.872,-2.243,6,normal,increase,30,389,0,0,0,1920,1080,1.073504,0,11294,0,0,0,1880,0,9600,14400,17,0,10.998331,34.614134,34.614134,34.580714,0,34.580714,44.430544,35.564444,64016,0,0,0,2,0,0,0,0,2,9232,1844,0,1844,2,0,1,0,0,1,0,0,207,0,0,0,9217,1,0,0.011,72.634051,389,72.444,connected,1,1,connected,0,1,1,1,1,1,0,1,1,host,,49223,udp,host,172.18.0.2,45654,udp,0.2,Playing,12.915,4
