capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,lossGuardTargetKbps,lossGuardLastObservedLoss,lossGuardReductions,lossGuardRecoveries,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,freezeCount,totalFreezesDurationSeconds,frameWidth,frameHeight,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerRTXPacketsCoalesced,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds,playback,videoCurrentTimeSeconds,videoReadyState
2026-08-17T02:20:00.286Z,3,connecting,0,7100,6100,7067.397,7067.397,0,0,0,0,0,5,1,-0.27,-0.369,7.852,normal,increase,30,118,0,0,0,1920,1080,0.30736399999999997,0,3011,0,0,0,500,0,8480.877,12721.316,9,0,6.486744,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,49585,0,0,0,2,0,0,0,0,2,2319,461,0,461,1,0,1,1,0,2,0,0,61,0,0,0,2208,2,0.004,0.014,21.835423,118,22.008,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,3.867,4
2026-08-17T02:20:01.291Z,1008,connecting,5663.4029850746265,4900,4700,4887.925,4887.925,0,0,0,0,0,5,1,-1.324,-6.282,16.075,normal,increase,30,149,0,0,0,1920,1080,0.397293,0,3690,0,0,0,610,0,5865.51,8798.265,7,0,7.426916,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,60556,0,0,0,6,0,0,0,0,6,2984,591,0,591,3,0,1,1,0,2,0,0,77,0,0,0,2880,2,0.004,0.01,27.706457,149,27.773999999999997,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,4.87,4
2026-08-17T02:20:02.300Z,2016,connecting,5103.650793650793,5300,4700,5265.025,5265.025,0,0,0,0,0,5,1,3.507,10.357,14.57,normal,increase,30,179,0,0,0,1920,1080,0.48109199999999996,0,4310,0,0,0,714,0,6318.03,9477.045,11,0,11.16466,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,60556,0,0,0,6,0,0,0,0,6,3478,689,0,689,3,0,1,1,0,2,0,0,93,0,0,0,3374,2,0.004,0.013,33.328679,179,33.354,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,5.872,4
2026-08-17T02:20:03.310Z,3026,warmup,4904.8,5700,4700,5654.92,5654.92,0,0,0,0,0,5,1,-0.329,-4.775,13.059,normal,increase,30,209,0,0,0,1920,1080,0.569218,0,4909,0,0,0,813,0,6785.904,10178.856,8,0,7.18666,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,49721,0,0,0,6,0,0,0,0,6,3994,792,0,792,3,0,1,1,0,2,0,0,109,0,0,0,3886,2,0.004,0.009,39.030597,209,38.934,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,6.87,4
2026-08-17T02:20:04.314Z,4031,warmup,5563.112437810945,6100,4700,6103.077,6103.077,0,0,0,0,0,5,1,-6.689,-4.483,13.993,normal,increase,30,239,0,0,0,1920,1080,0.651049,0,5570,0,0,0,924,0,7323.693,10985.54,7,0,6.091639,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,49721,0,0,0,6,0,0,0,0,6,4483,890,0,890,3,0,1,1,0,2,0,0,125,0,0,0,4376,2,0.005,0.01,44.675339,239,44.513999999999996,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,7.869,4
2026-08-17T02:20:05.319Z,5036,warmup,6250.809950248757,6600,6100,6587.765,6587.765,0,0,0,0,0,5,1,0.029,-0.627,12.548,normal,increase,30,269,0,0,0,1920,1080,0.7370869999999999,0,6305,0,0,0,1044,0,7905.318,11857.977,11,0,8.579532,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,57229,0,0,0,9,0,0,0,0,9,5106,1012,0,1012,4,0,1,1,0,2,0,0,141,0,0,0,4992,2,0.005,0.009,50.542662,270,50.28,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,8.869,4
2026-08-17T02:20:06.323Z,6040,warmup,6959.243027888446,7100,6100,7103.302,7103.302,0,0,0,0,0,5,1,0.094,-3.26,10.995,normal,increase,30,300,0,0,0,1920,1080,0.824595,0,7119,0,0,0,1179,0,8523.963,12785.945,15,0,11.311783,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,57229,0,0,0,9,0,0,0,0,9,5728,1136,0,1136,4,0,1,1,0,2,0,0,157,0,0,0,5620,2,0.005,0.01,56.222494999999995,300,55.86,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,9.902,4
2026-08-17T02:20:07.330Z,7047,warmup,7257.970208540219,7600,7100,7643.1,7643.1,0,0,0,0,0,5,1,1.39,-1.491,9.798,normal,increase,30,330,0,0,0,1920,1080,0.9094599999999999,0,7986,0,0,0,1324,0,9171.72,13757.58,13,0,8.499167,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,60469,0,0,0,9,0,0,0,0,9,6462,1283,0,1283,5,0,1,1,0,2,0,0,173,0,0,0,6345,2,0.004,0.008,61.887505,330,61.44,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,10.901,4
2026-08-17T02:20:08.338Z,8055,warmup,7853.912698412699,8000,7100,8000,8000,0,0,0,0,0,5,1,0.229,-0.862,8.536,normal,increase,30,360,0,0,0,1920,1080,0.989625,0,8911,0,0,0,1478,0,9600,14400,12,0,8.020554,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,60469,0,0,0,9,0,0,0,0,9,7198,1430,0,1430,5,0,1,1,0,2,0,0,189,0,0,0,7079,2,0.004,0.009,67.512062,360,67.02,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,11.901,4
2026-08-17T02:20:09.344Z,9061,warmup,7462.043737574552,8000,7100,8000,8000,0,0,0,0,0,5,1,-0.621,-2.528,7.72,normal,increase,30,390,0,0,0,1920,1080,1.0748419999999999,0,9802,0,0,0,1626,0,9600,14400,10,0,6.244998,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,63546,0,0,0,9,0,0,0,0,9,7950,1580,0,1580,5,0,1,1,0,2,0,0,205,0,0,0,7832,2,0.004,0.007,73.134896,390,72.6,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,12.9,4
2026-08-17T02:20:10.351Z,10068,warmup,8112.230387288977,8000,7100,8000,8000,0,0,0,0,0,5,1,0.91,-3.374,6.84,normal,increase,30,420,0,0,0,1920,1080,1.161802,0,10758,0,0,0,1786,0,9600,14400,11,0,6.824443,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,63546,0,0,0,9,0,0,0,0,9,8690,1728,0,1729,5,0,1,1,0,2,0,0,221,0,0,0,8571,2,0.004,0.01,78.755286,420,78.178,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,13.9,4
2026-08-17T02:20:11.358Z,11075,warmup,8161.684210526316,8000,8000,8000,8000,0,0,0,0,0,5,1,0.241,0.028,6.126,normal,increase,30,451,0,0,0,1920,1080,1.25209,0,11715,0,0,0,1945,0,9600,14400,0,0,0,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,63920,0,0,0,9,0,0,0,0,9,9501,1891,0,1891,6,0,1,1,0,2,0,0,237,0,0,0,9396,2,0.004,0.009,84.548231,451,83.944,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,14.934,4
2026-08-17T02:20:12.368Z,12085,warmup,8705.425742574258,8000,8000,8000,8000,0,0,0,0,0,5,1,1.516,2.775,6,normal,increase,30,481,0,0,0,1920,1080,1.343334,0,12739,0,0,0,2116,0,9600,14400,15,0,9.532775,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,63920,0,0,0,9,0,0,0,0,9,10329,2056,0,2056,6,0,1,1,0,2,0,0,253,0,0,0,10206,2,0.005,0.011,90.16838299999999,481,89.524,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,15.934,4
2026-08-17T02:20:13.375Z,13092,warmup,8414.133068520357,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.366,-0.508,6,normal,increase,30,511,0,0,0,1920,1080,1.431628,0,13731,0,0,0,2281,0,9600,14400,0,0,0,44.653001,44.653001,43.519831,0,43.519831,53.735075,43.128888,67843,0,0,0,9,0,0,0,0,9,11160,2223,0,2223,6,0,1,1,0,2,0,0,269,0,0,0,11053,2,0.005,0.009,95.777501,511,95.104,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56350,udp,relay,98.94.129.169,56261,udp,0.2,Playing,16.934,4
