capturedAt,elapsedMilliseconds,phase,receivedBitrateKbps,twccTargetKbps,encoderTargetKbps,lossTargetKbps,delayTargetKbps,lossAverage,lossGuardTargetKbps,lossGuardLastObservedLoss,lossGuardReductions,lossGuardRecoveries,flexFECMediaPackets,flexFECRepairPackets,delayMeasurementMilliseconds,delayEstimateMilliseconds,delayThresholdMilliseconds,delayControllerUsage,delayControllerState,framesPerSecond,framesDecoded,framesDropped,freezeCount,totalFreezesDurationSeconds,frameWidth,frameHeight,totalDecodeTimeSeconds,packetsLost,packetsReceived,nackCount,retransmittedPacketsReceived,retransmittedBytesReceived,fecPacketsReceived,fecPacketsDiscarded,pacerTargetBitrateKbps,pacerPacingBitrateKbps,pacerQueuePackets,pacerQueueDrops,pacerQueueDelayMilliseconds,pacerMaximumQueueDelayMilliseconds,pacerMaximumPrimaryDelayMilliseconds,pacerMaximumRepairDelayMilliseconds,pacerMaximumRTXDelayMilliseconds,pacerMaximumFECDelayMilliseconds,pacerMaximumSustainedDelayMilliseconds,pacerMaximumAdmittedDelayMilliseconds,pacerKeyFrameReserveBytes,pacerMediaFramesDropped,pacerMediaBytesDropped,pacerRepairPacketsExpired,pacerRepairPacketsTrimmed,pacerRTXPacketsExpired,pacerRTXPacketsCoalesced,pacerFECPacketsExpired,pacerRTXPacketsTrimmed,pacerFECPacketsTrimmed,pacerSentPrimary,pacerSentRepair,pacerSentRTX,pacerSentFEC,adaptiveBitrateUpdates,adaptiveBitrateFailures,recoveryKeyFrameRequests,recoveryKeyFrameCoalesced,recoveryKeyFrameFailures,rtcpKeyFrameRequests,rtcpMalformedFeedback,staleBitrateCallbacks,twccFeedbackPackets,twccMalformedFeedback,twccPaddingStatuses,twccReportedLost,twccReportedStatuses,pliCount,currentRoundTripTimeSeconds,jitterSeconds,jitterBufferDelaySeconds,jitterBufferEmittedCount,jitterBufferTargetDelaySeconds,peerConnectionState,peerConnectionID,peerConnectionsCreated,iceConnectionState,iceRestartOffers,offersSent,localCandidatesSent,remoteCandidatesReceived,webSocketID,webSocketOpenCount,webSocketCloseCount,webSocketsCreated,webSocketState,localCandidateType,localCandidateAddress,localCandidatePort,localCandidateProtocol,remoteCandidateType,remoteCandidateAddress,remoteCandidatePort,remoteCandidateProtocol,playoutDelayHintSeconds,playback,videoCurrentTimeSeconds,videoReadyState
2026-08-17T01:25:10.383Z,3,connecting,0,6700,6700,6713.624,6745.735,0,0,0,0,0,5,1,0.03,-1.417,8.755,normal,increase,30,88,0,0,0,1920,1080,0.19769699999999998,0,2279,0,0,0,380,0,8056.349,12084.524,7,0,4.990181,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,48591,0,0,0,0,0,0,0,0,0,2283,456,0,456,2,0,1,1,0,2,0,0,50,0,0,0,1784,2,0.107,0.008,16.414769,88,16.499,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,2.867,4
2026-08-17T01:25:11.387Z,1007,connecting,7247.561752988047,7200,6700,7195.584,7229.443,0,0,0,0,0,5,1,1.73,2.083,7.67,normal,increase,30,119,0,0,0,1920,1080,0.264383,0,3140,0,0,0,524,0,8634.701,12952.052,24,0,17.914675,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,60271,0,0,0,0,0,0,0,0,0,2978,595,0,595,2,0,1,1,0,2,0,0,66,0,0,0,2448,2,0.107,0.011,22.224017999999997,119,22.3,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,3.869,4
2026-08-17T01:25:12.396Z,2016,connecting,6850.568880079287,7800,6700,7766.44,7802.985,0,0,0,0,0,5,1,0.329,-0.219,7.033,normal,increase,30,149,0,0,0,1920,1080,0.337843,0,3961,0,0,0,661,0,9319.728,13979.592,3,0,2.035537,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,60271,0,0,0,0,0,0,0,0,0,3676,735,0,735,2,0,1,1,0,2,0,0,82,0,0,0,3163,2,0.107,0.007,27.861048999999998,149,27.91,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,4.868,4
2026-08-17T01:25:13.402Z,3023,warmup,7492.679245283019,8000,6700,8000,8000,0,0,0,0,0,5,1,2.956,2.395,6.451,normal,increase,30,179,0,0,0,1920,1080,0.410435,0,4842,0,0,0,807,0,9600,14400,20,0,13.24333,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,62249,0,0,0,1,0,0,0,0,1,4380,875,0,875,2,0,1,1,0,2,0,0,98,0,0,0,3846,2,0.107,0.009,33.471275,179,33.519999999999996,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,5.868,4
2026-08-17T01:25:14.413Z,4033,warmup,6903.223762376238,8000,6700,8000,8000,0,0,0,0,0,5,1,-1.057,-3.53,6,normal,increase,30,209,0,0,0,1920,1080,0.479664,0,5665,0,0,0,944,0,9600,14400,5,0,2.935555,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,62249,0,0,0,1,0,0,0,0,1,5072,1013,0,1013,2,0,1,1,0,2,0,0,114,0,0,0,4561,2,0.107,0.007,39.099095,209,39.129999999999995,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,6.9,4
2026-08-17T01:25:15.417Z,5038,warmup,8707.16815920398,8000,8000,8000,8000,0,0,0,0,0,5,1,0.788,2.85,6.478,normal,increase,30,240,0,0,0,1920,1080,0.55377,0,6679,0,0,0,1113,0,9600,14400,32,0,21.200551,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,67236,0,0,0,1,0,0,0,0,1,5875,1173,0,1173,3,0,1,1,0,2,0,0,130,0,0,0,5333,2,0.107,0.011,44.856805,240,44.927,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,7.902,4
2026-08-17T01:25:16.421Z,6042,warmup,8344.207171314742,8000,8000,8000,8000,0,0,0,0,0,5,1,1.126,0.06,6,normal,increase,30,270,0,0,0,1920,1080,0.6268039999999999,0,7659,0,0,0,1276,0,9600,14400,9,0,6.01611,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,67236,0,0,0,1,0,0,0,0,1,6720,1342,0,1342,3,0,1,1,0,2,0,0,146,0,0,0,6191,2,0.107,0.01,50.484263,270,50.537,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,8.902,4
2026-08-17T01:25:17.426Z,7046,warmup,8889.792828685258,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.104,0.421,6,normal,increase,29,299,0,0,0,1920,1080,0.695838,0,8695,0,0,0,1449,0,9600,14400,35,0,23.192217,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,67042,0,0,0,1,0,0,0,0,1,7548,1508,0,1508,3,0,1,1,0,2,0,0,162,0,0,0,7005,2,0.107,0.012,55.942723,299,55.96,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,9.903,4
2026-08-17T01:25:18.429Z,8049,warmup,8325.519441674975,8000,8000,8000,8000,0,0,0,0,0,5,1,-1.066,-3.175,6.91,normal,increase,30,330,0,0,0,1920,1080,0.770048,0,9675,0,0,0,1612,0,9600,14400,7,0,4.434999,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,67042,0,0,0,1,0,0,0,0,1,8400,1678,0,1678,3,0,1,1,0,2,0,0,178,0,0,0,7872,2,0.107,0.01,61.831883,330,61.757,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,10.904,4
2026-08-17T01:25:19.437Z,9057,warmup,8829.174603174602,8000,8000,8000,8000,0,0,0,0,0,5,1,-0.216,-1.858,6.117,normal,increase,30,360,0,0,0,1920,1080,0.837947,0,10708,0,0,0,1784,0,9600,14400,34,0,22.459995,41.007213,41.007213,37.364037,0,37.364037,49.883521,40.408,66101,0,0,0,1,0,0,0,0,1,9225,1843,0,1843,3,0,1,1,0,2,0,0,194,0,0,0,8682,2,0.107,0.012,67.52577099999999,360,67.36699999999999,connected,1,1,connected,0,1,1,1,1,1,0,1,1,relay,98.94.129.169,56790,udp,relay,98.94.129.169,56616,udp,0.2,Playing,11.904,4
